Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2017,1,1,20:50,UTC,1005.1,,89,-9.2,1.6
2017,1,1,21:00,UTC,1005.2,0,89,-9.5,1.8
2017,1,1,21:10,UTC,1005.5,,86,-10.2,1.8
2017,1,1,21:20,UTC,1005.6,,85,-10.7,1.7
2017,1,1,21:30,UTC,1005.7,,87,-11.1,1.8
2017,1,1,21:40,UTC,1005.7,,90,-10.9,2.3
2017,1,1,21:50,UTC,1005.7,,88,-11.5,1.8
2017,1,1,22:00,UTC,1005.7,0,89,-11.6,2.2
2017,1,1,22:10,UTC,1005.8,,85,-12.1,1.9
2017,1,1,22:20,UTC,1005.9,,85,-13.5,2.6
2017,1,1,22:30,UTC,1006,,90,-13,3
2017,1,1,22:40,UTC,1005.9,,92,-12.6,1.4
2017,1,1,22:50,UTC,1006,,92,-12.4,1.3
2017,1,1,23:00,UTC,1006,0,91,-12.5,1.1
2017,1,1,23:10,UTC,1006,,91,-12.5,0.6
2017,1,1,23:20,UTC,1006,,89,-12.8,1.2
2017,1,1,23:30,UTC,1006,,89,-13.1,0.8
2017,1,1,23:40,UTC,1006.1,,88,-13.2,0.7
2017,1,1,23:50,UTC,1006.2,,88,-13.5,1.5
2017,1,2,00:00,UTC,1006.2,0,88,-13.6,1.4
2017,1,2,00:10,UTC,1006.2,,85,-14.1,1.2
2017,1,2,00:20,UTC,1006.3,,85,-14.5,0.8
2017,1,2,00:30,UTC,1006.4,,87,-14.5,0.8
2017,1,2,00:40,UTC,1006.4,,88,-14.4,0.5
2017,1,2,00:50,UTC,1006.4,,88,-14.5,0.8
2017,1,2,01:00,UTC,1006.3,0,87,-14.7,0.7
2017,1,2,01:10,UTC,1006.3,,88,-14.6,0.5
2017,1,2,01:20,UTC,1006.2,,88,-14.6,1.1
2017,1,2,01:30,UTC,1006.2,,88,-14.7,1.8
2017,1,2,01:40,UTC,1006.1,,89,-14.6,1.6
2017,1,2,01:50,UTC,1006.1,,88,-14.7,1.4
2017,1,2,02:00,UTC,1006,0,87,-14.9,0.9
2017,1,2,02:10,UTC,1006.1,,88,-15,0.7
2017,1,2,02:20,UTC,1006.1,,87,-15.1,1.2
2017,1,2,02:30,UTC,1006.1,,87,-15.2,1.1
2017,1,2,02:40,UTC,1006.1,,85,-15.5,0.7
2017,1,2,02:50,UTC,1006.1,,86,-15.5,0.5
2017,1,2,03:00,UTC,1006.2,0,87,-15.6,1.6
2017,1,2,03:10,UTC,1006.2,,83,-16.3,1.3
2017,1,2,03:20,UTC,1006.3,,86,-16.2,1.1
2017,1,2,03:30,UTC,1006.3,,84,-16.5,1.4
2017,1,2,03:40,UTC,1006.4,,82,-17,1.1
2017,1,2,03:50,UTC,1006.5,,84,-17.3,0.6
2017,1,2,04:00,UTC,1006.6,0,86,-17.3,1.2
2017,1,2,04:10,UTC,1006.5,,85,-17.4,0.8
2017,1,2,04:20,UTC,1006.5,,86,-17.4,1
2017,1,2,04:30,UTC,1006.5,,84,-17.7,1
2017,1,2,04:40,UTC,1006.4,,86,-17.7,1.4
2017,1,2,04:50,UTC,1006.4,,83,-18.2,1.4
2017,1,2,05:00,UTC,1006.4,0,85,-18.1,0.5
2017,1,2,05:10,UTC,1006.4,,84,-18.4,0.6
2017,1,2,05:20,UTC,1006.4,,87,-18.2,1.3
2017,1,2,05:30,UTC,1006.4,,87,-18.1,0.6
2017,1,2,05:40,UTC,1006.5,,83,-18.6,0.7
2017,1,2,05:50,UTC,1006.5,,81,-19.2,1.7
2017,1,2,06:00,UTC,1006.5,0,82,-19.3,1.4
2017,1,2,06:10,UTC,1006.5,,83,-19.4,1
2017,1,2,06:20,UTC,1006.5,,82,-19.6,0.7
2017,1,2,06:30,UTC,1006.5,,84,-19.6,0.8
2017,1,2,06:40,UTC,1006.5,,84,-19.7,0.9
2017,1,2,06:50,UTC,1006.6,,87,-19.3,1.1
2017,1,2,07:00,UTC,1006.7,0,85,-19.4,0.9
2017,1,2,07:10,UTC,1006.7,,82,-19.8,1.1
2017,1,2,07:20,UTC,1006.8,,81,-20.2,1.3
2017,1,2,07:30,UTC,1007,,83,-20.3,0.6
2017,1,2,07:40,UTC,1007,,83,-20.3,1.5
2017,1,2,07:50,UTC,1007,,82,-20.5,0.7
2017,1,2,08:00,UTC,1007.3,0,81,-20.6,0.8
2017,1,2,08:10,UTC,1007.4,,79,-21.4,1.2
2017,1,2,08:20,UTC,1007.5,,82,-21.5,2.1
2017,1,2,08:30,UTC,1007.5,,81,-21.5,0.9
2017,1,2,08:40,UTC,1007.6,,83,-21.3,0.6
2017,1,2,08:50,UTC,1007.7,,82,-21.5,0.9
2017,1,2,09:00,UTC,1007.8,0,82,-21.6,1.1
2017,1,2,09:10,UTC,1007.6,,84,-21.2,1.2
2017,1,2,09:20,UTC,1007.7,,84,-21,1.1
2017,1,2,09:30,UTC,1007.6,,82,-21.4,1.1
2017,1,2,09:40,UTC,1007.5,,84,-21.2,1
2017,1,2,09:50,UTC,1007.6,,85,-20.9,1
2017,1,2,10:00,UTC,1007.8,0,80,-21.6,2.1
2017,1,2,10:10,UTC,1007.7,,81,-21.8,2.5
2017,1,2,10:20,UTC,1007.7,,85,-21.2,2.5
2017,1,2,10:30,UTC,1007.7,,82,-21.5,3.4
2017,1,2,10:40,UTC,1007.8,,84,-21.2,1.9
2017,1,2,10:50,UTC,1007.8,,85,-20.9,2.9
2017,1,2,11:00,UTC,1007.8,0,84,-20.9,1.5
2017,1,2,11:10,UTC,1007.9,,85,-20.6,1.9
2017,1,2,11:20,UTC,1007.8,,86,-20.4,2.5
2017,1,2,11:30,UTC,1007.8,,87,-20,2
2017,1,2,11:40,UTC,1007.8,,86,-19.8,1.9
2017,1,2,11:50,UTC,1007.8,,84,-20,0.7
2017,1,2,12:00,UTC,1007.7,0,85,-20,1.3
2017,1,2,12:10,UTC,1007.9,,83,-20.2,0.6
2017,1,2,12:20,UTC,1008,,83,-20.3,1.1
2017,1,2,12:30,UTC,1008,,84,-20.2,0.7
2017,1,2,12:40,UTC,1007.9,,85,-20,0.8
2017,1,2,12:50,UTC,1008,,85,-19.9,0.6
2017,1,2,13:00,UTC,1008.1,0,85,-19.9,0.7
2017,1,2,13:10,UTC,1008,,84,-19.9,0.8
2017,1,2,13:20,UTC,1008.1,,85,-19.8,0.6
2017,1,2,13:30,UTC,1008,,85,-19.8,0.8
2017,1,2,13:40,UTC,1007.9,,85,-19.7,1
2017,1,2,13:50,UTC,1008,,84,-19.7,1.1
2017,1,2,14:00,UTC,1008,0,84,-19.9,0.8
2017,1,2,14:10,UTC,1008,,84,-19.9,0.9
2017,1,2,14:20,UTC,1008.1,,82,-20.1,1
2017,1,2,14:30,UTC,1008,,82,-20.3,0.8
2017,1,2,14:40,UTC,1008,,82,-20.5,0
2017,1,2,14:50,UTC,1008,,82,-20.6,1
2017,1,2,15:00,UTC,1008.1,0,82,-20.7,0.6
2017,1,2,15:10,UTC,1008.2,,83,-20.7,0.6
2017,1,2,15:20,UTC,1008.1,,84,-20.5,0.8
2017,1,2,15:30,UTC,1008.1,,84,-20.5,0.8
2017,1,2,15:40,UTC,1008.2,,85,-20.4,1
2017,1,2,15:50,UTC,1008.1,,84,-20.3,0.8
2017,1,2,16:00,UTC,1008.2,0,85,-20.3,1.3
2017,1,2,16:10,UTC,1008.1,,85,-20.2,0.8
2017,1,2,16:20,UTC,1008.1,,84,-20.2,0.8
2017,1,2,16:30,UTC,1008.2,,84,-20.2,1
2017,1,2,16:40,UTC,1008.2,,83,-20.3,1.4
2017,1,2,16:50,UTC,1008.2,,83,-20.3,1.5
2017,1,2,17:00,UTC,1008.1,0,85,-20.1,1.7
2017,1,2,17:10,UTC,1008.1,,84,-20.2,0.6
2017,1,2,17:20,UTC,1008.2,,83,-20.4,0.7
2017,1,2,17:30,UTC,1008.3,,83,-20.4,0.8
2017,1,2,17:40,UTC,1008.4,,83,-20.4,0.8
2017,1,2,17:50,UTC,1008.4,,82,-20.6,0.5
2017,1,2,18:00,UTC,1008.3,0,83,-20.6,0.5
2017,1,2,18:10,UTC,1008.3,,82,-20.8,1.2
2017,1,2,18:20,UTC,1008.5,,82,-20.9,1
2017,1,2,18:30,UTC,1008.6,,80,-21.2,0.8
2017,1,2,18:40,UTC,1008.6,,81,-21.5,1
2017,1,2,18:50,UTC,1008.7,,82,-21.4,0.6
2017,1,2,19:00,UTC,1008.6,0,82,-21.4,0.8
2017,1,2,19:10,UTC,1008.6,,82,-21.5,0.7
2017,1,2,19:20,UTC,1008.5,,80,-21.8,0.6
2017,1,2,19:30,UTC,1008.5,,80,-22,0.7
2017,1,2,19:40,UTC,1008.7,,79,-22.2,0.8
2017,1,2,19:50,UTC,1008.9,,79,-22.7,1.7
2017,1,2,20:00,UTC,1008.9,0,82,-22.5,1
2017,1,2,20:10,UTC,1008.9,,83,-22.3,1
2017,1,2,20:20,UTC,1009,,81,-22.4,1.6
2017,1,2,20:30,UTC,1009,,80,-22.5,0
2017,1,2,20:40,UTC,1009.1,,81,-22.5,1
2017,1,2,20:50,UTC,1009,,81,-22.5,1.3
2017,1,2,21:00,UTC,1009,0,81,-22.5,1
2017,1,2,21:10,UTC,1009.2,,80,-22.8,1.2
2017,1,2,21:20,UTC,1009.2,,78,-23.4,1.8
2017,1,2,21:30,UTC,1009.1,,83,-22.9,1.1
2017,1,2,21:40,UTC,1009.1,,81,-23,1.2
2017,1,2,21:50,UTC,1009.1,,80,-23.2,0.9
2017,1,2,22:00,UTC,1009,0,80,-23.3,1
2017,1,2,22:10,UTC,1009,,81,-23.2,0.8
2017,1,2,22:20,UTC,1009,,81,-23.1,0.7
2017,1,2,22:30,UTC,1009,,81,-23.1,0.7
2017,1,2,22:40,UTC,1009.1,,81,-23.1,0.5
2017,1,2,22:50,UTC,1009.1,,83,-22.8,1.2
2017,1,2,23:00,UTC,1009.1,0,82,-22.8,0.9
2017,1,2,23:10,UTC,1009,,83,-22.6,0.5
2017,1,2,23:20,UTC,1009.2,,82,-22.6,0
2017,1,2,23:30,UTC,1009.1,,81,-22.7,0.8
2017,1,2,23:40,UTC,1009.2,,81,-22.7,1.1
2017,1,2,23:50,UTC,1009,,82,-22.6,1
2017,1,3,00:00,UTC,1009,0,81,-22.6,1.4
2017,1,3,00:10,UTC,1008.9,,81,-22.6,1.3
2017,1,3,00:20,UTC,1009,,82,-22.5,1.1
2017,1,3,00:30,UTC,1009,,82,-22.5,1.2
2017,1,3,00:40,UTC,1009,,80,-22.7,1.4
2017,1,3,00:50,UTC,1009,,79,-23,0.5
2017,1,3,01:00,UTC,1009,0,78,-23.3,0
2017,1,3,01:10,UTC,1008.8,,78,-23.4,0.6
2017,1,3,01:20,UTC,1008.9,,78,-23.5,1
2017,1,3,01:30,UTC,1009,,77,-23.8,1.2
2017,1,3,01:40,UTC,1009,,77,-24,1.1
2017,1,3,01:50,UTC,1009,,77,-24.3,0.9
2017,1,3,02:00,UTC,1009.3,0,75,-24.6,0.7
2017,1,3,02:10,UTC,1009.3,,75,-24.9,0.5
2017,1,3,02:20,UTC,1009.3,,74,-25.3,0.6
2017,1,3,02:30,UTC,1009.2,,74,-25.6,0.7
2017,1,3,02:40,UTC,1009.2,,73,-25.9,0.7
2017,1,3,02:50,UTC,1009.3,,73,-26.3,1
2017,1,3,03:00,UTC,1009.3,0,73,-26.8,1.1
2017,1,3,03:10,UTC,1009.3,,75,-26.7,0.7
2017,1,3,03:20,UTC,1009.4,,75,-26.8,0.5
2017,1,3,03:30,UTC,1009.5,,76,-26.7,0
2017,1,3,03:40,UTC,1009.5,,77,-26.6,0.5
2017,1,3,03:50,UTC,1009.4,,77,-26.6,0.8
2017,1,3,04:00,UTC,1009.6,0,78,-26.5,0
2017,1,3,04:10,UTC,1009.5,,77,-26.5,0.5
2017,1,3,04:20,UTC,1009.6,,78,-26.4,0.9
2017,1,3,04:30,UTC,1009.5,,78,-26.2,0.9
2017,1,3,04:40,UTC,1009.4,,78,-26.2,0.8
2017,1,3,04:50,UTC,1009.4,,78,-26.2,0.9
2017,1,3,05:00,UTC,1009.5,0,77,-26.3,0.6
2017,1,3,05:10,UTC,1009.5,,78,-26.3,0.8
2017,1,3,05:20,UTC,1009.3,,78,-26.1,1.5
2017,1,3,05:30,UTC,1009.3,,79,-26,1.6
2017,1,3,05:40,UTC,1009.4,,78,-26.1,1.2
2017,1,3,05:50,UTC,1009.3,,77,-26.2,1.1
2017,1,3,06:00,UTC,1009.3,0,78,-26.1,1.3
2017,1,3,06:10,UTC,1009.4,,78,-26.1,0.9
2017,1,3,06:20,UTC,1009.3,,77,-26.1,0.6
2017,1,3,06:30,UTC,1009.2,,77,-26.1,0.9
2017,1,3,06:40,UTC,1009.3,,77,-26.2,0.5
2017,1,3,06:50,UTC,1009.3,,76,-26.4,0.5
2017,1,3,07:00,UTC,1009.5,0,75,-26.7,0.9
2017,1,3,07:10,UTC,1009.6,,74,-27,1.5
2017,1,3,07:20,UTC,1009.6,,74,-27.1,1.3
2017,1,3,07:30,UTC,1009.8,,75,-27.3,2
2017,1,3,07:40,UTC,1009.9,,74,-27.4,2.1
2017,1,3,07:50,UTC,1009.9,,74,-27.4,0.9
2017,1,3,08:00,UTC,1009.9,0,74,-27.6,1.4
2017,1,3,08:10,UTC,1009.9,,74,-27.9,2.5
2017,1,3,08:20,UTC,1010,,75,-27.8,2.6
2017,1,3,08:30,UTC,1010,,75,-28,2.8
2017,1,3,08:40,UTC,1010.1,,75,-28,2
2017,1,3,08:50,UTC,1010.1,,75,-27.9,2
2017,1,3,09:00,UTC,1010.1,0,75,-27.9,2
2017,1,3,09:10,UTC,1010.1,,75,-27.9,1.6
2017,1,3,09:20,UTC,1010.2,,75,-28,1.3
2017,1,3,09:30,UTC,1010.3,,73,-28.3,0.6
2017,1,3,09:40,UTC,1010.3,,74,-28.4,1.6
2017,1,3,09:50,UTC,1010.4,,73,-28.6,2.4
2017,1,3,10:00,UTC,1010.6,0,73,-28.9,3
2017,1,3,10:10,UTC,1010.7,,73,-29.1,3.1
2017,1,3,10:20,UTC,1010.8,,73,-29.2,2.6
2017,1,3,10:30,UTC,1010.9,,74,-29.1,1.3
2017,1,3,10:40,UTC,1010.9,,76,-28.8,1.6
2017,1,3,10:50,UTC,1010.9,,76,-28.6,1.6
2017,1,3,11:00,UTC,1010.9,0,76,-28.5,2.3
2017,1,3,11:10,UTC,1010.9,,76,-28.5,3.4
2017,1,3,11:20,UTC,1011.2,,75,-28.7,3.3
2017,1,3,11:30,UTC,1011.4,,75,-28.8,2.9
2017,1,3,11:40,UTC,1011.4,,75,-28.7,2.1
2017,1,3,11:50,UTC,1011.4,,75,-28.7,1.5
2017,1,3,12:00,UTC,1011.4,0,74,-28.8,1.1
2017,1,3,12:10,UTC,1011.5,,74,-28.8,1.1
2017,1,3,12:20,UTC,1011.6,,74,-28.8,1.3
2017,1,3,12:30,UTC,1011.6,,75,-28.7,1.2
2017,1,3,12:40,UTC,1011.7,,76,-28.6,1.6
2017,1,3,12:50,UTC,1011.8,,74,-28.8,0.7
2017,1,3,13:00,UTC,1012,0,74,-28.8,1.4
2017,1,3,13:10,UTC,1012,,73,-28.9,1.6
2017,1,3,13:20,UTC,1012.2,,73,-29,1.3
2017,1,3,13:30,UTC,1012.2,,73,-29.2,1.8
2017,1,3,13:40,UTC,1012.4,,73,-29.3,2
2017,1,3,13:50,UTC,1012.5,,72,-29.5,1.8
2017,1,3,14:00,UTC,1012.6,0,73,-29.5,2
2017,1,3,14:10,UTC,1012.7,,73,-29.5,2.2
2017,1,3,14:20,UTC,1012.7,,74,-29.5,2.5
2017,1,3,14:30,UTC,1012.8,,74,-29.3,2.5
2017,1,3,14:40,UTC,1012.8,,74,-29.4,2.4
2017,1,3,14:50,UTC,1012.9,,73,-29.5,1
2017,1,3,15:00,UTC,1013.1,0,74,-29.5,1.1
2017,1,3,15:10,UTC,1013.1,,74,-29.4,1.5
2017,1,3,15:20,UTC,1013.2,,75,-29.3,1.1
2017,1,3,15:30,UTC,1013.3,,75,-29.3,1.2
2017,1,3,15:40,UTC,1013.4,,74,-29.3,0.6
2017,1,3,15:50,UTC,1013.5,,75,-29.2,0.8
2017,1,3,16:00,UTC,1013.7,0,75,-29.1,1
2017,1,3,16:10,UTC,1013.9,,75,-29,1.2
2017,1,3,16:20,UTC,1014,,75,-29,0.6
2017,1,3,16:30,UTC,1014.1,,75,-28.9,1.1
2017,1,3,16:40,UTC,1014.3,,75,-28.9,1.3
2017,1,3,16:50,UTC,1014.4,,75,-28.9,0.7
2017,1,3,17:00,UTC,1014.3,0,75,-28.9,0
2017,1,3,17:10,UTC,1014.3,,74,-29,1
2017,1,3,17:20,UTC,1014.4,,74,-29.1,1.2
2017,1,3,17:30,UTC,1014.4,,73,-29.2,1.4
2017,1,3,17:40,UTC,1014.6,,73,-29.3,1.3
2017,1,3,17:50,UTC,1014.7,,73,-29.3,1.3
2017,1,3,18:00,UTC,1014.9,0,73,-29.4,0.7
2017,1,3,18:10,UTC,1015,,73,-29.5,0.5
2017,1,3,18:20,UTC,1015.1,,73,-29.6,0.5
2017,1,3,18:30,UTC,1015.2,,72,-29.8,1.1
2017,1,3,18:40,UTC,1015,,72,-29.9,0.8
2017,1,3,18:50,UTC,1015,,71,-30.1,0.7
2017,1,3,19:00,UTC,1015,0,71,-30.3,0.9
2017,1,3,19:10,UTC,1015.2,,70,-30.6,1.9
2017,1,3,19:20,UTC,1015.4,,70,-30.9,2.9
2017,1,3,19:30,UTC,1015.5,,70,-31.1,1.4
2017,1,3,19:40,UTC,1015.6,,70,-31.2,1.6
2017,1,3,19:50,UTC,1015.8,,71,-31.3,1.9
2017,1,3,20:00,UTC,1016,0,69,-31.6,2.2
2017,1,3,20:10,UTC,1016.1,,68,-32,2.2
2017,1,3,20:20,UTC,1016.3,,69,-32,2.6
2017,1,3,20:30,UTC,1016.4,,69,-32.2,1.6
2017,1,3,20:40,UTC,1016.5,,70,-32.3,2.8
2017,1,3,20:50,UTC,1016.6,,69,-32.4,2.7
2017,1,3,21:00,UTC,1016.7,0,69,-32.6,2.4
2017,1,3,21:10,UTC,1016.8,,70,-32.5,2.3
2017,1,3,21:20,UTC,1016.8,,70,-32.6,2.4
2017,1,3,21:30,UTC,1016.9,,69,-32.7,2.4
2017,1,3,21:40,UTC,1017.1,,68,-33,2.4
2017,1,3,21:50,UTC,1017.3,,70,-32.9,2.1
2017,1,3,22:00,UTC,1017.4,0,70,-33,1.4
2017,1,3,22:10,UTC,1017.5,,70,-33,1.6
2017,1,3,22:20,UTC,1017.6,,70,-33,1.6
2017,1,3,22:30,UTC,1017.7,,69,-33.1,2
2017,1,3,22:40,UTC,1017.8,,69,-33.2,2
2017,1,3,22:50,UTC,1017.8,,69,-33.3,2.2
2017,1,3,23:00,UTC,1017.9,0,69,-33.4,2.1
2017,1,3,23:10,UTC,1017.9,,68,-33.5,1.9
2017,1,3,23:20,UTC,1018,,68,-33.7,2.1
2017,1,3,23:30,UTC,1018.1,,68,-33.8,2.5
2017,1,3,23:40,UTC,1018.2,,68,-33.9,3
2017,1,3,23:50,UTC,1018.3,,68,-34,2.7
2017,1,4,00:00,UTC,1018.6,0,68,-34.1,2.5
2017,1,4,00:10,UTC,1018.6,,68,-34.2,1.9
2017,1,4,00:20,UTC,1018.8,,67,-34.4,1.9
2017,1,4,00:30,UTC,1018.9,,68,-34.4,1.8
2017,1,4,00:40,UTC,1018.9,,68,-34.4,1.7
2017,1,4,00:50,UTC,1018.9,,68,-34.4,1.5
2017,1,4,01:00,UTC,1018.9,0,68,-34.5,1.7
